ID;Active (0/1);Name *;Parent category;Description;Image URL
14;1;Штангенциркули механические;Главная;Штангенциркули механические ГОСТ 166-89 ГОСРЕЕСТР 52630-13;
15;1;Штангенциркули цифровые;Главная;Штангенциркули цифровые ГОСТ 166-89 ГОСРЕЕСТР 52630-13;
17;1;Микрометры механические;Главная;Микрометры механические гладкие ГОСТ 6507-90 ГОСРЕЕСТР 52631-13;
18;1;Микрометры цифровые;Главная;Микрометры цифровые ГОСТ 6507-90 ГОСРЕЕСТР 52631-13;
20;1;Микрометры рычажные;Главная;Микрометры рычажные ГОСТ 4381-87;
21;1;Микрометры со вставками; Главная; Микрометры со вставками ГОСТ 4380-93;
22;1;Скобы рычажные;Главная;Скобы рычажные ГОСТ 11098-75;
23;1;Стенкомеры индикаторные;Главная;Стенкомеры индикаторные ГОСТ 11358-89;
24;1;Нутромеры индикаторные;Главная;Нутромеры индикаторные ГОСТ 868-82 ГОСРЕЕСТР 52611-13;
25;1;Нутромеры микрометрические;Главная;Нутромеры микрометрические ГОСТ 10-88;
26;1;Индикаторы часового типа;Главная;Индикаторы часового типа ГОСТ 577-68 ГОСРЕЕСТР 52612-13. Индикаторы ИРБ;
27;1;Штангенглубиномеры механические;Главная;Штангенглубиномеры механические ГОСТ 162-90;
28;1;Штангенрейсмасы механические;Главная;Штангенрейсмасы механические ГОСТ 164-90;
29;1;Угломеры универсальные;Главная;Угломеры универсальные ГОСТ 5378-88;
30;1;Угольники поверочные;Главная;Угольники поверочные ГОСТ 3749-77;
31;1;Угольники с широким основанием;Главная;Угольники с широким основанием ГОСТ 3749-77;
32;1;Стойки Штативы;Главная;Стойки Штативы;
33;1;Шаблоны резьбовые;Главная;Шаблоны резьбовые ТУ-2-034-228-87;
34;1;Шаблоны радиусные;Главная;Шаблоны радиусные;
35;1;Рулетки;Главная;Рулетки;
36;1;Рулетки по ГОСТ 7502-98;Главная;Рулетки по ГОСТ 7502-98;
37;1;Глубиномеры микрометрические;Главная;Глубиномеры микрометрические ГОСТ 7470-92;
38;1;Глубиномеры индикаторные;Главная;Глубиномеры индикаторные ГОСТ 7661-67;
39;1;Призмы поверочные и разметочные;Главная;Призмы поверочные и разметочные;
40;1;Линейки измерительные;Главная;Линейки измерительные по ГОСТ 427-75;
41;1;Линейки поверочные тип ШД;Главная;Линейки поверочные тип ШД ГОСТ 8026-92;
42;1;Линейки поверочные тип ШП;Главная;Линейки поверочные тип ШП ГОСТ 8026-92;
43;1;Линейки поверочные тип ШП;Главная;Линейки поверочные тип ШМ ГОСТ 8026-92;
44;1;Линейка синусная тип ЛС;Главная;Линейка синусная тип ЛС ГОСТ 4046-80;
45;1;Линейки измерительные с поверкой;Главная;Линейки измерительные с поверкой по ГОСТ 427-75;
46;1;Плита поверочная чугунная;Главная;Плита поверочная чугунная ГОСТ 10905-86;
47;1;Плита поверочная гранитная;Главная;Плита поверочная гранитная ГОСТ 10905-86;
48;1;Универсальный шаблон сварщика;Главная;Универсальный шаблон сварщика ТУ 102-338-83;
49;1;Наборы щупов;Главная;Наборы щупов ТУ 2-034-0221197-011-91;
50;1;Набор концевых мер длины;Главная;Набор концевых мер длины (КМД) ГОСТ 9038-90;
